Order_ID,Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Ship_Date,Units_Sold,Unit_Price,Unit_Cost
313705861,Europe,Montenegro,Fruits,Offline,L,5/29/16,7/10/16,1390,9.33,6.92
345820701,Central America and the Caribbean,Guatemala,Office Supplies,Online,M,1/17/12,2/1/12,4885,651.21,524.96
975111138,Sub-Saharan Africa,Guinea,Baby Food,Online,M,12/27/12,1/21/13,5910,255.28,159.42
286001002,Australia and Oceania,Vanuatu,Snacks,Online,C,4/1/13,4/15/13,2907,152.58,97.44
483226621,Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,H,6/26/15,8/6/15,6350,437.2,263.33
241836822,Australia and Oceania,Australia,Clothes,Offline,M,1/17/12,1/17/12,3744,109.28,35.84
557192933,Middle East and North Africa,Oman,Clothes,Online,H,7/3/11,7/5/11,4626,109.28,35.84
694968783,Sub-Saharan Africa,Malawi,Meat,Online,L,2/17/12,4/2/12,5562,421.89,364.69
441150701,Middle East and North Africa,Lebanon,Fruits,Online,H,4/5/13,5/12/13,5150,9.33,6.92
552037513,Europe,Czech Republic,Cereal,Online,M,7/8/11,8/5/11,9022,205.7,117.11
504240548,Australia and Oceania,Vanuatu,Cosmetics,Offline,C,2/24/12,3/27/12,4838,437.2,263.33
744683635,Europe,Luxembourg,Vegetables,Offline,L,2/13/10,4/1/10,7291,154.06,90.93
440603101,Sub-Saharan Africa,Benin,Personal Care,Online,L,8/7/16,9/15/16,3104,81.73,56.67
629547774,Middle East and North Africa,Somalia,Clothes,Offline,L,4/26/17,5/3/17,6031,109.28,35.84
169378983,Europe,Switzerland,Meat,Online,L,3/21/14,4/10/14,1860,421.89,364.69
688270556,Middle East and North Africa,Saudi Arabia,Personal Care,Offline,L,2/2/14,3/4/14,3407,81.73,56.67
734708821,Asia,Laos,Meat,Online,L,3/21/17,3/24/17,5522,421.89,364.69
727492606,Asia,Kyrgyzstan,Snacks,Online,C,8/6/13,9/22/13,84,152.58,97.44
705733239,Middle East and North Africa,Algeria,Baby Food,Offline,M,12/30/16,1/25/17,1003,255.28,159.42
778854548,Sub-Saharan Africa,Angola,Office Supplies,Offline,C,10/3/15,10/3/15,9224,651.21,524.96
676592862,Sub-Saharan Africa,Mauritania,Cosmetics,Offline,M,5/30/14,7/9/14,7718,437.2,263.33
198997008,Middle East and North Africa,Lebanon,Household,Offline,M,10/15/14,10/16/14,6492,668.27,502.54
566428315,Europe,Finland,Beverages,Online,H,3/16/12,3/23/12,7581,47.45,31.79
369560611,Asia,Taiwan,Baby Food,Online,M,5/27/14,6/13/14,52,255.28,159.42
519380223,Europe,Belgium,Snacks,Online,M,1/12/15,1/17/15,5005,152.58,97.44
197185981,Asia,Laos,Office Supplies,Online,H,8/10/12,9/11/12,568,651.21,524.96
904589211,Europe,San Marino,Office Supplies,Online,H,4/13/14,5/4/14,6905,651.21,524.96
613513743,Australia and Oceania,Tuvalu,Household,Offline,H,11/23/16,12/31/16,1205,668.27,502.54
516195905,Australia and Oceania,Kiribati,Clothes,Offline,M,10/22/10,10/29/10,2694,109.28,35.84
975184524,Asia,Kyrgyzstan,Vegetables,Offline,H,12/3/13,1/17/14,7626,154.06,90.93
173340928,Australia and Oceania,Samoa ,Clothes,Online,M,12/8/14,1/3/15,4287,109.28,35.84
863838946,Sub-Saharan Africa,Central African Republic,Personal Care,Offline,H,12/16/14,1/5/15,7995,81.73,56.67
920164906,Asia,Uzbekistan,Cereal,Offline,L,3/2/16,3/6/16,6099,205.7,117.11
986117637,Central America and the Caribbean,Dominica,Meat,Online,M,6/12/10,7/30/10,2977,421.89,364.69
425808465,Middle East and North Africa,Qatar,Cereal,Online,L,6/18/13,7/18/13,5042,205.7,117.11
473661220,Central America and the Caribbean,Saint Lucia,Beverages,Online,L,6/12/15,7/3/15,5736,47.45,31.79
184412229,Europe,Bosnia and Herzegovina,Baby Food,Online,C,4/4/15,4/7/15,531,255.28,159.42
483110320,Asia,South Korea,Vegetables,Offline,H,8/12/16,9/30/16,1934,154.06,90.93
115116822,Central America and the Caribbean,Trinidad and Tobago,Household,Online,H,9/22/16,11/1/16,4481,668.27,502.54
596105563,Middle East and North Africa,Somalia,Baby Food,Online,M,1/29/10,3/20/10,9738,255.28,159.42
362062871,Sub-Saharan Africa,Nigeria,Snacks,Online,C,12/10/14,12/23/14,1304,152.58,97.44
619287574,Sub-Saharan Africa,South Africa,Beverages,Online,H,7/28/16,8/2/16,9810,47.45,31.79
394391000,Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,H,6/10/16,6/23/16,7916,109.28,35.84
584296977,Sub-Saharan Africa,Sudan,Beverages,Online,M,4/16/13,4/28/13,5315,47.45,31.79
806241834,Middle East and North Africa,Algeria,Clothes,Offline,M,7/5/14,8/15/14,3730,109.28,35.84
747774398,Europe,Netherlands,Meat,Offline,M,3/8/17,4/3/17,1916,421.89,364.69
616755998,Central America and the Caribbean,Panama,Meat,Online,H,11/24/11,12/3/11,660,421.89,364.69
691360461,Australia and Oceania,Solomon Islands,Baby Food,Offline,C,10/20/16,11/7/16,7779,255.28,159.42
870074117,Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Online,C,4/1/13,5/16/13,3121,47.45,31.79
221695792,Middle East and North Africa,Iran,Office Supplies,Online,H,3/1/10,3/20/10,3566,651.21,524.96
135336816,Australia and Oceania,Vanuatu,Fruits,Online,M,7/13/17,8/17/17,8026,9.33,6.92
270421016,Australia and Oceania,Federated States of Micronesia,Office Supplies,Online,L,4/29/12,5/23/12,2443,651.21,524.96
806684720,Sub-Saharan Africa,Equatorial Guinea,Household,Online,H,6/16/10,7/18/10,4790,668.27,502.54
194176757,Europe,Russia,Household,Online,M,7/10/17,8/20/17,72,668.27,502.54
103258454,Middle East and North Africa,Azerbaijan,Baby Food,Offline,H,6/28/17,8/15/17,5326,255.28,159.42
474603641,Middle East and North Africa,Iraq,Office Supplies,Online,H,4/21/14,5/30/14,4619,651.21,524.96
869198644,Sub-Saharan Africa,Mauritius ,Cereal,Online,H,12/26/12,1/5/13,4049,205.7,117.11
918342292,Sub-Saharan Africa,Eritrea,Household,Online,H,11/1/15,12/21/15,6747,668.27,502.54
773645913,Europe,Ukraine,Cosmetics,Online,H,1/22/11,1/28/11,7873,437.2,263.33
657033336,Asia,Myanmar,Cosmetics,Online,C,6/13/14,7/2/14,9620,437.2,263.33
410740888,Europe,Bosnia and Herzegovina,Meat,Online,H,7/24/12,9/1/12,6211,421.89,364.69
847317397,Europe,Latvia,Meat,Offline,M,12/15/11,12/18/11,8902,421.89,364.69
599624192,Europe,Serbia,Beverages,Online,L,9/3/12,9/21/12,978,47.45,31.79
170835101,Asia,Mongolia,Beverages,Offline,H,1/19/12,2/12/12,2758,47.45,31.79
584436452,Central America and the Caribbean,Grenada,Cereal,Online,H,1/17/16,2/9/16,6588,205.7,117.11
234227073,Sub-Saharan Africa,Namibia,Office Supplies,Online,H,10/2/12,10/12/12,1851,651.21,524.96
734318292,Europe,Portugal,Office Supplies,Online,M,1/21/14,3/4/14,9956,651.21,524.96
169133937,Central America and the Caribbean,Barbados,Snacks,Online,H,12/21/13,12/31/13,9345,152.58,97.44
743410336,Asia,Sri Lanka,Cereal,Online,C,2/24/15,3/20/15,494,205.7,117.11
232196319,Europe,Poland,Household,Offline,L,7/7/17,8/4/17,905,668.27,502.54
530853211,Sub-Saharan Africa,Senegal,Beverages,Offline,L,6/30/14,8/2/14,117,47.45,31.79
905054843,Australia and Oceania,Kiribati,Fruits,Online,L,12/7/11,1/12/12,4695,9.33,6.92
240787541,Middle East and North Africa,Somalia,Household,Offline,C,9/27/16,11/13/16,3239,668.27,502.54
194350135,Sub-Saharan Africa,Burundi,Meat,Online,L,5/22/10,6/5/10,1379,421.89,364.69
242353951,Asia,Malaysia,Household,Online,L,4/12/13,4/13/13,6775,668.27,502.54
831722819,Central America and the Caribbean,Haiti,Vegetables,Offline,C,10/17/12,10/26/12,4120,154.06,90.93
229693067,Europe,Liechtenstein,Cosmetics,Online,L,7/15/12,7/15/12,138,437.2,263.33
373813521,Sub-Saharan Africa,Zambia,Cereal,Offline,H,5/19/13,6/15/13,8583,205.7,117.11
121945512,Europe,United Kingdom,Beverages,Online,C,4/8/17,4/12/17,5242,47.45,31.79
202262866,Australia and Oceania,Vanuatu,Fruits,Offline,L,11/6/15,12/14/15,2932,9.33,6.92
963251912,Australia and Oceania,Tuvalu,Personal Care,Offline,M,12/21/16,2/1/17,6501,81.73,56.67
123711478,Central America and the Caribbean,Antigua and Barbuda ,Household,Online,M,8/21/10,9/13/10,7830,668.27,502.54
422752892,Central America and the Caribbean,Haiti,Clothes,Offline,L,8/12/10,8/12/10,830,109.28,35.84
169799983,Europe,Slovenia,Fruits,Online,H,10/22/12,11/20/12,6443,9.33,6.92
894589078,Europe,Malta,Vegetables,Online,M,3/11/14,4/10/14,7643,154.06,90.93
597169005,Asia,Bhutan,Office Supplies,Offline,M,8/3/16,8/14/16,4434,651.21,524.96
497901093,Sub-Saharan Africa,Eritrea,Office Supplies,Offline,H,4/26/15,6/11/15,8853,651.21,524.96
987459170,Europe,Ukraine,Personal Care,Online,M,7/16/10,8/27/10,9967,81.73,56.67
276829564,Asia,Singapore,Personal Care,Offline,M,1/22/11,2/13/11,8875,81.73,56.67
247311103,Sub-Saharan Africa,Cameroon,Household,Offline,H,5/22/15,7/11/15,3706,668.27,502.54
600515115,Europe,Cyprus,Fruits,Offline,M,7/12/15,8/30/15,4622,9.33,6.92
208365428,Europe,Poland,Office Supplies,Offline,M,11/27/15,12/29/15,8815,651.21,524.96
263098371,Europe,Monaco,Personal Care,Online,L,6/8/14,7/4/14,5509,81.73,56.67
227262771,Australia and Oceania,Vanuatu,Office Supplies,Online,L,11/21/13,1/6/14,959,651.21,524.96
983719956,Sub-Saharan Africa,Gabon,Office Supplies,Offline,H,7/14/10,8/1/10,3450,651.21,524.96
785643756,Sub-Saharan Africa,Djibouti,Baby Food,Offline,H,1/17/13,1/26/13,8301,255.28,159.42
206520497,Sub-Saharan Africa,Namibia,Office Supplies,Online,C,1/15/16,3/5/16,2859,651.21,524.96
790149009,Europe,Estonia,Cosmetics,Online,C,5/23/11,5/29/11,1505,437.2,263.33
100640618,Europe,Norway,Cereal,Online,M,10/8/14,10/18/14,650,205.7,117.11
272419154,Sub-Saharan Africa,Ethiopia,Personal Care,Online,L,5/27/16,6/27/16,3736,81.73,56.67
360220944,Sub-Saharan Africa,Burundi,Meat,Offline,M,2/27/15,2/27/15,6237,421.89,364.69
389094817,Asia,Thailand,Beverages,Offline,C,10/1/14,11/11/14,658,47.45,31.79
904402101,Sub-Saharan Africa,Mauritius ,Meat,Offline,L,5/19/12,6/23/12,1534,421.89,364.69
721816623,Sub-Saharan Africa,Uganda,Vegetables,Online,H,2/13/10,2/17/10,434,154.06,90.93
977324712,Europe,Luxembourg,Snacks,Online,H,2/1/11,3/10/11,955,152.58,97.44
177225196,Sub-Saharan Africa,The Gambia,Beverages,Online,C,9/7/15,9/12/15,3729,47.45,31.79
948129403,Middle East and North Africa,United Arab Emirates,Beverages,Online,M,3/27/10,5/14/10,1415,47.45,31.79
586961162,Central America and the Caribbean,Haiti,Meat,Offline,M,3/15/16,4/22/16,3706,421.89,364.69
510956799,Europe,Luxembourg,Snacks,Online,H,9/7/10,9/23/10,2326,152.58,97.44
407665145,Central America and the Caribbean,Saint Lucia,Meat,Online,L,6/26/13,7/5/13,6030,421.89,364.69
484947526,Middle East and North Africa,Iraq,Meat,Online,C,3/9/15,3/16/15,5604,421.89,364.69
120977771,Europe,Armenia,Fruits,Online,M,3/23/11,5/2/11,8866,9.33,6.92
114242208,Asia,Singapore,Personal Care,Offline,M,3/29/13,5/15/13,5663,81.73,56.67
433539664,Middle East and North Africa,Jordan,Clothes,Online,M,1/5/15,1/15/15,2876,109.28,35.84
667981469,Australia and Oceania,Tonga,Meat,Online,M,5/21/11,6/12/11,9416,421.89,364.69
476991450,Europe,Bulgaria,Snacks,Offline,L,3/11/17,3/27/17,1225,152.58,97.44
940305936,Sub-Saharan Africa,Sudan,Office Supplies,Online,C,6/23/10,7/29/10,6277,651.21,524.96
507973754,Sub-Saharan Africa,Mali,Baby Food,Online,H,12/28/11,1/12/12,9577,255.28,159.42
850356233,Asia,Myanmar,Cosmetics,Online,L,4/6/13,5/26/13,8161,437.2,263.33
108127200,Asia,Sri Lanka,Meat,Offline,L,9/5/10,10/1/10,6096,421.89,364.69
542272984,Middle East and North Africa,Azerbaijan,Office Supplies,Online,C,10/27/16,12/8/16,9481,651.21,524.96
884092414,Sub-Saharan Africa,Tanzania,Office Supplies,Offline,C,4/11/11,5/13/11,1447,651.21,524.96
385196816,Sub-Saharan Africa,Swaziland,Household,Offline,C,7/17/12,9/3/12,7153,668.27,502.54
167510020,Asia,Myanmar,Meat,Online,L,9/9/13,10/6/13,8792,421.89,364.69
973268353,Europe,Denmark,Beverages,Online,H,6/5/16,6/26/16,589,47.45,31.79
915020644,Sub-Saharan Africa,Seychelles ,Fruits,Offline,M,2/28/12,3/18/12,3797,9.33,6.92
425628221,Sub-Saharan Africa,Madagascar,Cosmetics,Offline,C,1/31/16,2/24/16,1704,437.2,263.33
908264911,Central America and the Caribbean,Saint Lucia,Beverages,Online,L,5/18/10,6/14/10,4626,47.45,31.79
686417043,Sub-Saharan Africa,Mauritius ,Cereal,Online,C,2/25/16,3/29/16,4912,205.7,117.11
853883445,Asia,Taiwan,Household,Online,H,12/7/13,1/10/14,1941,668.27,502.54
324775445,Middle East and North Africa,Morocco,Cereal,Online,C,8/8/15,9/14/15,7126,205.7,117.11
783516871,Middle East and North Africa,Jordan,Cereal,Online,C,3/3/15,4/6/15,8909,205.7,117.11
834844052,Asia,China,Cosmetics,Offline,H,4/15/15,5/20/15,7762,437.2,263.33
953805816,Asia,South Korea,Snacks,Offline,H,11/20/15,12/25/15,1191,152.58,97.44
335763490,North America,United States of America,Office Supplies,Online,L,5/22/10,7/4/10,8733,651.21,524.96
946390902,Asia,Uzbekistan,Cosmetics,Online,H,3/18/12,3/23/12,6954,437.2,263.33
771674382,Europe,Finland,Vegetables,Offline,L,2/14/13,3/21/13,4453,154.06,90.93
567912757,Asia,Philippines,Cereal,Online,C,4/23/17,5/22/17,6860,205.7,117.11
711717355,Middle East and North Africa,Libya,Office Supplies,Offline,L,11/18/14,11/18/14,1836,651.21,524.96
750012004,Sub-Saharan Africa,South Sudan,Office Supplies,Online,L,12/11/15,1/30/16,4074,651.21,524.96
750033032,Middle East and North Africa,Kuwait,Snacks,Online,C,7/9/16,8/18/16,297,152.58,97.44
849329268,Central America and the Caribbean,Saint Lucia,Household,Offline,H,6/28/17,7/22/17,4259,668.27,502.54
805762040,Central America and the Caribbean,Grenada,Meat,Online,M,3/22/13,4/8/13,1748,421.89,364.69
447505176,Sub-Saharan Africa,Namibia,Cereal,Online,H,7/4/10,7/27/10,5581,205.7,117.11
123045003,Australia and Oceania,Solomon Islands,Beverages,Offline,L,3/14/17,3/22/17,606,47.45,31.79
251180350,Asia,Philippines,Household,Offline,H,9/21/15,10/20/15,8702,668.27,502.54
871022546,Asia,Turkmenistan,Household,Online,M,4/10/12,4/11/12,3782,668.27,502.54
291995418,Europe,Kosovo,Fruits,Online,L,5/2/10,6/6/10,6788,9.33,6.92
943835294,Asia,Singapore,Clothes,Online,C,6/13/14,8/1/14,692,109.28,35.84
826591002,Sub-Saharan Africa,South Africa,Office Supplies,Offline,L,4/18/11,4/18/11,5501,651.21,524.96
260623872,Middle East and North Africa,Lebanon,Cosmetics,Online,M,5/1/11,5/12/11,3250,437.2,263.33
536607730,Australia and Oceania,Samoa ,Vegetables,Online,L,9/21/14,11/3/14,3007,154.06,90.93
765528905,Australia and Oceania,Samoa ,Personal Care,Offline,L,2/17/15,3/6/15,5870,81.73,56.67
128686225,Europe,Hungary,Baby Food,Online,M,1/25/11,3/13/11,9968,255.28,159.42
127691018,Middle East and North Africa,Pakistan,Vegetables,Offline,L,4/1/17,4/5/17,5465,154.06,90.93
534467113,Australia and Oceania,Tonga,Vegetables,Offline,C,5/21/15,5/25/15,9550,154.06,90.93
741250836,Australia and Oceania,Vanuatu,Personal Care,Online,H,12/18/10,1/10/11,1450,81.73,56.67
210591018,Australia and Oceania,Vanuatu,Snacks,Online,M,5/2/14,5/27/14,7417,152.58,97.44
725348985,Central America and the Caribbean,Grenada,Vegetables,Online,C,3/6/14,4/13/14,5738,154.06,90.93
538698565,Sub-Saharan Africa,Mozambique,Household,Offline,H,8/11/11,9/7/11,1731,668.27,502.54
224126088,Central America and the Caribbean,Cuba,Cereal,Offline,H,5/20/16,6/12/16,2745,205.7,117.11
425430381,Middle East and North Africa,Algeria,Beverages,Online,M,10/22/12,12/5/12,3159,47.45,31.79
506722772,Sub-Saharan Africa,Equatorial Guinea,Vegetables,Offline,M,7/20/16,8/8/16,9383,154.06,90.93
802427089,Sub-Saharan Africa,Uganda,Office Supplies,Offline,C,4/7/10,4/26/10,4862,651.21,524.96
367279660,Asia,Thailand,Cosmetics,Offline,H,7/14/15,8/9/15,5068,437.2,263.33
126329314,Middle East and North Africa,Turkey,Personal Care,Offline,H,5/10/13,5/21/13,2506,81.73,56.67
624937379,Asia,Kazakhstan,Personal Care,Offline,H,2/1/16,2/8/16,1713,81.73,56.67
678777682,Central America and the Caribbean,Nicaragua,Snacks,Offline,H,8/20/10,9/28/10,4255,152.58,97.44
523836553,Asia,Kazakhstan,Cereal,Online,L,4/12/15,5/22/15,3732,205.7,117.11
466412818,Sub-Saharan Africa,Chad,Cereal,Offline,C,4/8/15,5/12/15,772,205.7,117.11
433117806,Australia and Oceania,East Timor,Fruits,Online,H,1/27/12,2/6/12,8039,9.33,6.92
420875346,Europe,Lithuania,Cosmetics,Offline,L,1/6/12,2/18/12,5223,437.2,263.33
946921765,Sub-Saharan Africa,Eritrea,Cosmetics,Online,C,11/26/14,12/16/14,4048,437.2,263.33
798805892,Sub-Saharan Africa,Zambia,Household,Offline,H,4/4/10,4/25/10,3270,668.27,502.54
184389054,Sub-Saharan Africa,Liberia,Household,Offline,M,5/17/11,6/20/11,3674,668.27,502.54
281845080,Central America and the Caribbean,Saint Kitts and Nevis ,Household,Offline,M,9/9/13,10/18/13,3077,668.27,502.54
989660298,Central America and the Caribbean,Jamaica,Meat,Online,H,9/14/13,10/11/13,1330,421.89,364.69
476633536,Europe,Albania,Vegetables,Online,C,10/5/12,11/3/12,5310,154.06,90.93
131876122,Asia,Japan,Baby Food,Offline,C,4/13/13,5/22/13,3930,255.28,159.42
514811885,Sub-Saharan Africa,Equatorial Guinea,Meat,Offline,L,12/15/14,1/21/15,3132,421.89,364.69
905177152,Asia,Myanmar,Office Supplies,Online,C,12/20/10,1/7/11,889,651.21,524.96
653020751,Middle East and North Africa,Libya,Personal Care,Offline,H,7/2/14,7/19/14,2207,81.73,56.67
528704011,Asia,Mongolia,Meat,Online,L,1/31/17,3/2/17,4121,421.89,364.69
472900760,Asia,Singapore,Snacks,Offline,M,2/5/15,3/19/15,699,152.58,97.44
946597325,Central America and the Caribbean,The Bahamas,Baby Food,Offline,L,7/23/13,7/23/13,8039,255.28,159.42
681092536,Asia,Sri Lanka,Office Supplies,Offline,L,10/6/14,11/18/14,9272,651.21,524.96
727997720,Europe,Cyprus,Vegetables,Offline,C,7/2/14,7/19/14,9558,154.06,90.93
409236705,Middle East and North Africa,Afghanistan,Baby Food,Online,C,5/29/13,6/11/13,1090,255.28,159.42
467045819,Europe,Moldova ,Personal Care,Online,M,3/11/13,4/12/13,8092,81.73,56.67
813973891,Europe,Kosovo,Cosmetics,Offline,C,11/1/12,11/13/12,1818,437.2,263.33
982882249,Middle East and North Africa,Egypt,Household,Online,M,5/22/12,5/29/12,5554,668.27,502.54
576944720,Europe,Albania,Cosmetics,Offline,L,9/30/16,10/9/16,9619,437.2,263.33
619647634,Asia,Singapore,Vegetables,Offline,C,9/25/16,10/16/16,6360,154.06,90.93
404789817,Europe,Portugal,Baby Food,Online,L,8/3/15,9/8/15,5157,255.28,159.42
646482598,Asia,India,Snacks,Offline,M,1/16/10,1/25/10,7422,152.58,97.44
329149806,Sub-Saharan Africa,Sudan,Meat,Online,C,11/1/16,12/8/16,1597,421.89,364.69
757527768,Australia and Oceania,Vanuatu,Office Supplies,Offline,M,11/25/15,12/19/15,8155,651.21,524.96
606665313,Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Online,C,9/24/14,10/13/14,4602,437.2,263.33
871923768,Europe,Bosnia and Herzegovina,Baby Food,Online,C,4/30/14,5/30/14,474,255.28,159.42
818976962,Europe,Kosovo,Vegetables,Offline,C,12/18/12,12/21/12,2337,154.06,90.93
233811223,Europe,Switzerland,Cosmetics,Online,C,7/20/17,7/20/17,8792,437.2,263.33
772725379,Central America and the Caribbean,Cuba,Beverages,Offline,L,2/16/17,3/9/17,5466,47.45,31.79
112330758,Europe,Lithuania,Office Supplies,Offline,C,12/15/16,1/11/17,22,651.21,524.96
499551188,Middle East and North Africa,Lebanon,Clothes,Online,M,12/28/11,1/14/12,7153,109.28,35.84
201622998,Asia,North Korea,Clothes,Online,M,5/28/13,6/5/13,3581,109.28,35.84
256095016,Europe,Montenegro,Office Supplies,Offline,H,7/2/14,8/21/14,3061,651.21,524.96
420828568,Sub-Saharan Africa,Eritrea,Fruits,Offline,M,3/21/17,3/29/17,1380,9.33,6.92
523997485,Sub-Saharan Africa,Democratic Republic of the Congo,Cereal,Online,L,3/17/13,4/23/13,1355,205.7,117.11
914088094,Asia,India,Office Supplies,Online,C,4/30/10,5/3/10,7835,651.21,524.96
209899222,Sub-Saharan Africa,Republic of the Congo,Snacks,Online,M,9/16/13,9/28/13,2699,152.58,97.44
250542199,Sub-Saharan Africa,Comoros,Clothes,Offline,M,5/30/14,7/1/14,9859,109.28,35.84
245440852,Europe,France,Meat,Online,L,11/28/15,12/17/15,257,421.89,364.69
824331510,Sub-Saharan Africa,Rwanda,Vegetables,Online,L,3/7/15,4/21/15,6867,154.06,90.93
887263000,Sub-Saharan Africa,Malawi,Meat,Online,M,1/15/14,1/31/14,9693,421.89,364.69
754596650,Sub-Saharan Africa,Cote d'Ivoire,Cereal,Offline,H,5/22/15,5/27/15,772,205.7,117.11
817006289,Europe,Spain,Fruits,Online,H,10/22/11,11/14/11,9172,9.33,6.92
185478246,Sub-Saharan Africa,Uganda,Clothes,Offline,H,2/8/12,3/20/12,5989,109.28,35.84
741311347,Asia,Taiwan,Personal Care,Offline,C,10/16/14,11/5/14,9356,81.73,56.67
386116921,Middle East and North Africa,Israel,Personal Care,Offline,M,11/14/11,12/22/11,9432,81.73,56.67
691818797,Central America and the Caribbean,Costa Rica,Meat,Offline,L,5/3/15,5/7/15,3411,421.89,364.69
150653302,Central America and the Caribbean,Honduras,Snacks,Online,C,7/16/15,9/2/15,515,152.58,97.44
925169265,Asia,South Korea,Vegetables,Offline,M,4/1/15,5/3/15,7000,154.06,90.93
298228013,Europe,Sweden,Vegetables,Online,H,9/20/10,10/25/10,1151,154.06,90.93
123003375,Australia and Oceania,Tonga,Office Supplies,Online,L,8/24/10,9/16/10,8287,651.21,524.96
972981679,Europe,Latvia,Snacks,Online,C,3/15/17,4/9/17,5755,152.58,97.44
791961753,Asia,Indonesia,Beverages,Online,M,9/12/14,9/21/14,7937,47.45,31.79
744054925,Asia,Myanmar,Household,Online,C,3/25/11,3/31/11,1242,668.27,502.54
263685023,Asia,Turkmenistan,Office Supplies,Offline,L,3/3/12,4/8/12,9113,651.21,524.96
205588376,Central America and the Caribbean,Panama,Baby Food,Online,H,5/19/16,6/18/16,7024,255.28,159.42
594813811,Europe,Norway,Personal Care,Offline,M,6/8/12,6/17/12,7480,81.73,56.67
176722657,Europe,Estonia,Clothes,Online,H,9/8/12,9/16/12,5016,109.28,35.84
466988742,Europe,Malta,Personal Care,Offline,M,8/16/11,8/16/11,1201,81.73,56.67
801598393,Sub-Saharan Africa,Eritrea,Personal Care,Offline,L,5/14/12,6/2/12,9633,81.73,56.67
586850440,Sub-Saharan Africa,Republic of the Congo,Meat,Offline,M,4/28/15,6/8/15,941,421.89,364.69
649356210,Central America and the Caribbean,Trinidad and Tobago,Snacks,Offline,H,5/21/14,5/21/14,7787,152.58,97.44
986039531,Middle East and North Africa,Yemen,Cereal,Offline,H,11/15/15,12/10/15,9864,205.7,117.11
314136731,Asia,Turkmenistan,Household,Offline,H,1/10/12,1/12/12,8894,668.27,502.54
121196639,Middle East and North Africa,Somalia,Beverages,Offline,H,1/28/15,2/7/15,3634,47.45,31.79
615080583,Europe,Portugal,Cereal,Online,C,8/11/15,9/19/15,4868,205.7,117.11
273962390,Asia,Kyrgyzstan,Fruits,Offline,L,8/19/16,9/5/16,414,9.33,6.92
